Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,aker buy base asset volume,Taker buy quote asset volume,Ignore
1514739600000,13831.01000000,13836.00000000,13730.00000000,13817.77000000,25.88515800,1514739659999,357123.64065255,256,12.74593100,176118.65456634,0
1514739660000,13810.00000000,13817.80000000,13720.00000000,13800.02000000,21.80092900,1514739719999,300690.42326956,234,14.23096800,196500.34308420,0
1514739720000,13800.02000000,13800.02000000,13676.75000000,13765.34000000,18.38256700,1514739779999,252574.36387890,203,10.12956300,139353.67050546,0
1514739780000,13740.13000000,13749.99000000,13701.00000000,13740.00000000,17.05227200,1514739839999,234096.65014087,228,8.76296200,120370.71018345,0
1514739840000,13740.00000000,13799.00000000,13713.48000000,13755.01000000,22.32613000,1514739899999,306948.98056796,221,11.53480300,158580.19980998,0
1514739900000,13755.01000000,13800.00000000,13755.00000000,13775.01000000,10.64556300,1514739959999,146573.09484173,114,4.68562700,64563.51913504,0
1514739960000,13789.97000000,13800.00000000,13764.55000000,13764.58000000,24.13569900,1514740019999,332666.54382124,157,10.44770900,144097.87325108,0
1514740020000,13790.92000000,13799.00000000,13769.98000000,13799.00000000,5.86425500,1514740079999,80795.38473645,68,5.35657700,73801.25907892,0
1514740080000,13780.08000000,13800.02000000,13776.42000000,13780.00000000,11.06832700,1514740139999,152703.32616227,130,8.80264900,121470.61777886,0
1514740140000,13780.00000000,13816.99000000,13756.00000000,13756.00000000,16.97577500,1514740199999,234244.07688830,158,5.35574000,73910.45129092,0
1514740200000,13756.05000000,13780.64000000,13717.97000000,13732.40000000,17.36003400,1514740259999,238831.58321417,98,2.35750200,32454.79689712,0
1514740260000,13719.00000000,13741.07000000,13718.02000000,13724.98000000,23.03733400,1514740319999,316447.37089406,124,17.51472800,240661.00018038,0
1514740320000,13724.98000000,13739.99000000,13722.00000000,13722.06000000,7.51756200,1514740379999,103165.90200097,78,2.42419600,33270.64888299,0
1514740380000,13723.69000000,13730.00000000,13722.00000000,13722.00000000,7.44525500,1514740439999,102171.20310983,97,1.16825600,16034.42342156,0
1514740440000,13724.72000000,13724.72000000,13700.00000000,13701.99000000,8.97648200,1514740499999,123111.28949935,97,2.02098200,27720.44517976,0
1514740500000,13701.99000000,13701.99000000,13641.01000000,13679.46000000,21.13638800,1514740559999,289222.58970731,203,12.22360200,167304.29824188,0
1514740560000,13679.46000000,13739.99000000,13663.91000000,13739.99000000,14.62049000,1514740619999,200337.02948506,169,10.43983600,143068.06696989,0
1514740620000,13739.99000000,13755.85000000,13720.04000000,13749.98000000,9.33383200,1514740679999,128311.61485568,148,2.20461000,30299.15837994,0
1514740680000,13745.99000000,13755.00000000,13739.98000000,13750.04000000,9.65974600,1514740739999,132779.88925600,92,1.91468000,26320.84839239,0
1514740740000,13750.05000000,13798.98000000,13750.05000000,13795.62000000,7.45876000,1514740799999,102831.06562642,95,6.14491100,84733.39080876,0
1514740800000,13798.98000000,13839.99000000,13795.62000000,13839.99000000,11.86173000,1514740859999,163732.70358727,91,7.74419600,106906.05764836,0
1514740860000,13839.99000000,13850.00000000,13817.56000000,13820.00000000,11.82212400,1514740919999,163537.26740200,124,4.77317600,66052.36984592,0
1514740920000,13820.00000000,13828.00000000,13800.00000000,13819.94000000,13.05066200,1514740979999,180326.93105540,145,9.92341900,137141.18772438,0
1514740980000,13819.00000000,13828.31000000,13768.76000000,13819.20000000,13.58037200,1514741039999,187297.92168432,196,7.27833300,100378.54719267,0
1514741040000,13819.20000000,13820.31000000,13803.15000000,13803.16000000,11.08947700,1514741099999,153153.05914931,117,7.44522800,102812.30104611,0
1514741100000,13803.15000000,13820.31000000,13803.15000000,13820.31000000,11.84670800,1514741159999,163556.70061062,113,10.35395600,142946.94304273,0
1514741160000,13819.00000000,13848.00000000,13819.00000000,13830.00000000,4.00014900,1514741219999,55325.41802774,84,2.61901000,36230.11200081,0
1514741220000,13833.55000000,13845.00000000,13801.99000000,13801.99000000,29.66239300,1514741279999,409774.97332215,112,6.41191800,88611.06106427,0
1514741280000,13790.03000000,13803.15000000,13756.00000000,13786.70000000,19.88849900,1514741339999,273846.65782951,129,4.02857000,55472.83463340,0
1514741340000,13787.78000000,13820.30000000,13761.55000000,13786.99000000,12.91812700,1514741399999,177989.79195176,99,4.59181600,63372.40360953,0
1514741400000,13799.77000000,13809.76000000,13765.00000000,13787.14000000,3.80870700,1514741459999,52515.33511893,83,1.45459100,20063.82323872,0
1514741460000,13769.02000000,13787.06000000,13764.00000000,13764.67000000,7.35961700,1514741519999,101320.50828987,75,4.26643700,58743.76211523,0
1514741520000,13764.00000000,13764.67000000,13764.00000000,13764.01000000,4.51106400,1514741579999,62090.45848014,52,1.20237200,16549.60570968,0
1514741580000,13764.65000000,13764.67000000,13764.01000000,13764.10000000,5.38973200,1514741639999,74186.38585204,87,2.88238000,39674.66231399,0
1514741640000,13764.66000000,13768.96000000,13764.10000000,13768.96000000,2.92022500,1514741699999,40196.51321937,68,1.19841000,16496.62755898,0
1514741700000,13768.96000000,13820.31000000,13765.01000000,13790.99000000,16.42973800,1514741759999,226721.78393939,150,7.16587800,98964.86354021,0
